,,,,,
,Titulo del Bug,Descripción,Comportamiento Observado,Comportamiento Esperado,ESTADO
MODULO PEDIDOS,"Input de Cantidades ""Espejo"" (Linked Inputs)","Descripción: Al intentar modificar la cantidad de un producto, el cambio se replica automáticamente en todos los demás artículos del pedido.","Comportamiento observado: En el segundo 0:19 del video, al subir los ""Garbanzos"" a 3, el ""Refresco"" también sube a 3. Esto continúa hasta llegar a 7 unidades en ambos.",,Fixeado
,"Error de Validación Persistente (""Datos de artículos inválidos"")","Descripción: Incluso intentando guardar cantidades menores o iguales a las originales, el sistema arroja un error de validación","Comportamiento observado: Al intentar guardar con cantidades de 2 o 1, aparece el mensaje: ""Error: Datos de artículos inválidos"". Esto impide cualquier edición.",Comportamiento esperado: El sistema debe permitir guardar la edición siempre que los datos cumplan con el esquema (números positivos y stock disponible).,Fixeado
,Falta de Validación de Stock en Edición ,Descripción: El selector permite subir cantidades por encima del stock real disponible de la tienda.,"Comportamiento observado: El sistema permitió subir a 7 unidades de Garbanzos, a pesar de que previamente había validado que el stock era insuficiente.",,No aplica
,Persistencia de Pedidos Vacíos ($0.00),"Descripción: El sistema permite eliminar todos los productos de un pedido y guardarlo con éxito, dejando una orden fantasma sin ítems","Comportamiento observado: Al minuto 0:41, se eliminan ambos productos, se le da a ""Guardar Cambios"" y el sistema responde con ""Éxito: Pedido actualizado"". El pedido #jswXubJ queda en la lista con un Total de $0.00 y estado Pendiente.",Comportamiento esperado: No se debe permitir guardar un pedido con 0 artículos. El sistema debería obligar a cancelar la orden o mantener al menos un ítem.,Pendiente
,Discrepancia de Datos en Comprobantes (POS vs Delivery),Descripción: Existe una inconsistencia en la generación de comprobantes para ventas presenciales. El sistema no mapea correctamente el origen de la venta en el documento final.,"Comportamiento Observado: Una venta realizada a través del Punto de Venta (POS) muestra correctamente ""Venta en Tienda"" en el detalle del panel, pero al generar el comprobante/recibo, el campo ""Método"" muestra erróneamente ""Envío a domicilio"".","Comportamiento esperado: El comprobante debe reflejar fielmente el método de operación: ""Venta en Tienda (POS)"".",Pendiente (No crítico)
,Comportamiento inconsistente (Race Condition) en la deshabilitación de controles de estado en pedidos finalizados.,"Descripción: El sistema presenta una falla aleatoria en la lógica de bloqueo de la interfaz de usuario cuando un pedido pasa a un estado terminal (ej. Devuelto o Cancelado). Idealmente, una vez que un pedido alcanza estos estados, tanto el selector de opciones como el botón de confirmación (""OK"") deben quedar inhabilitados para evitar cambios posteriores. Sin embargo, en ocasiones el botón ""OK"" permanece activo, permitiendo re-enviar el último estado registrado al servidor.","Comportamiento Observado: 1. Al cambiar un pedido a ""Devuelto"", en algunos casos el selector de estados se bloquea correctamente, pero el botón ""OK"" permanece habilitado (clickable). 2. Debido a esto, el usuario puede presionar ""OK"" repetidamente. Aunque el selector no permite elegir un nuevo estado, el sistema procesa la petición con el estado actual, disparando mensajes de ""Éxito"" innecesarios y posibles re-ejecuciones de lógica en el backend. 3. El error no es constante; en otros pedidos bajo las mismas condiciones, ambos controles se bloquean correctamente de inmediato.","Comportamiento Esperado: Al detectar un estado terminal, el componente debe aplicar el atributo disabled de forma atómica y simultánea tanto al selector select como al botón button (OK), impidiendo cualquier interacción posterior del usuario con ese registro.",Pendiente
,Falla en el retorno de stock al cancelar pedidos,"Descripción: El sistema no restaura las unidades al stock disponible cuando un administrador anula una venta realizada desde el Punto de Venta (POS) utilizando el estado ""Cancelado"". Solo se ejecuta la lógica de retorno de inventario si se selecciona manualmente el estado ""Devuelto (stock reintegrado)"", lo que genera una pérdida de trazabilidad y descuadres en el inventario físico si el administrador usa la opción de cancelación estándar.","Comportamiento Observado: 1. Se realiza una venta desde el módulo Punto de Venta. El stock disminuye correctamente. 2. Se navega al módulo de Pedidos y se cambia el estado de dicha orden a ""Cancelado"". 3. Al verificar en el módulo Mis Productos, el stock permanece con el valor restado (no recupera las unidades). 4. Si se repite el proceso pero se selecciona ""Devuelto"", el stock sí regresa a su valor original de inmediato.","Comportamiento Esperado: Independientemente de si se usa el estado ""Cancelado"" o ""Devuelto"", cualquier orden que no se complete (especialmente las de origen POS) debe disparar la función de reintegración de stock de forma automática para asegurar que el inventario digital coincida con las existencias físicas.",No aplica
,"Error de renderizado de interfaz. Ausencia de visualización de productos en la sección ""Artículos del Pedido"".","Descripción: Al abrir la vista de detalles de una orden específica, el sistema no muestra la lista de productos, cantidades ni precios unitarios en la sección interna dedicada a ello, limitándose a mostrar únicamente el monto total. Sin embargo, los datos sí existen en la base de datos, ya que al generar o visualizar el Comprobante (Ticket/PDF), la información de los artículos aparece detallada correctamente.","Comportamiento Observado: 1. El usuario entra a un pedido en el módulo de Pedidos. 2. En la sección ""Artículos del Pedido"", el espacio aparece vacío o no renderiza las filas correspondientes a los productos comprados. 3. El monto total de la orden sí es visible, lo que confirma que el objeto del pedido fue cargado. 4. Al hacer clic en ""Ver Comprobante"", se abre una vista donde sí aparecen todos los productos con su descripción y precio.","Comportamiento Esperado: La sección ""Artículos del Pedido"" de Ver Detalles debe funcionar como un espejo del comprobante, listando cada producto asociado a la orden con su respectiva cantidad, precio unitario y subtotal, permitiendo al administrador validar el contenido del pedido de forma rápida desde el panel.",Pendiente
,Falta de reactividad inmediata en la actualización de estados,"Descripción: El sistema no refleja de forma automática el cambio de estado de un pedido (ej. de Pendiente a Entregado) en el listado principal después de que el usuario confirma la acción. La interfaz manti de la página (F5) para forzar la lectura de los datos actualizados desde la base de datosene la información anterior, obligando al administrador a realizar una recarga manual.","Comportamiento Observado: 1. El administrador selecciona un nuevo estado para un pedido y hace clic en ""OK"". 2. Aparece el mensaje de confirmación de ""Éxito"", pero la etiqueta de estado en la tabla del listado de pedidos sigue mostrando el estado antiguo. 3. Al navegar a otros módulos o refrescar el navegador, el estado finalmente aparece actualizado.","Comportamiento Esperado: La interfaz debe ser reactiva. Una vez que la operación de cambio de estado se completa con éxito en el servidor, el componente de la lista de pedidos debe actualizar su estado local inmediatamente para reflejar el nuevo valor sin intervención manual del usuario.",No relevante
MODULO MIS PRODUCTOS,Fallo de sincronización de inventario en ventas desde la App,"Descripción: Omisión de descuento automático de stock en órdenes generadas a través de la App móvil. Existe una desconexión crítica entre el módulo de pedidos de la App y el módulo de inventario del Panel de Tienda. Cuando un cliente finaliza una compra exitosa desde la aplicación, el stock del producto vendido no disminuye en la base de datos de ""Mis Productos"". El inventario permanece estático, lo que permite que el producto siga apareciendo disponible para otros usuarios aunque físicamente se haya agotado.","Comportamiento Observado: 1. Se verifica que un producto (ej. ""Harina"") tiene 10 unidades en el módulo Mis Productos. 2. Un usuario realiza un pedido de 2 unidades desde la App. 3. El pedido llega correctamente al listado de ""Pedidos"" en estado Pendiente. 4. Al revisar nuevamente el módulo Mis Productos, el stock sigue marcando 10 unidades (en lugar de las 8 correspondientes). 5. Incluso tras marcar el pedido como ""Confirmado"" o ""Entregado"", el stock no se actualiza.","Comportamiento Esperado: Al momento en que un pedido es creado y confirmado desde la App, el sistema debe ejecutar una función de actualización (Trigger) en la base de datos que descuente automáticamente las cantidades solicitadas del stock disponible en el módulo ""Mis Productos"".",Pendiente
